country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Bangladesh,BGD,Asia,Southern Asia,2014,EFProdTotGHA,43135692.17,520607.2155,10443339.82,2911402.389,12447634.3,24213688.53,93672364.43,922.161,159078000
Bermuda,BMU,North America,North America,2014,BiocapPerCap,,,,,,,0.138041268,,62000
Bermuda,BMU,North America,North America,2014,BiocapTotGHA,,,,,,,8610.46205,,62000
Bermuda,BMU,North America,North America,2014,EFConsPerCap,,,,,,,6.778905763,,62000
Bermuda,BMU,North America,North America,2014,EFConsTotGHA,,,,,,,422841.0221,,62000
Bermuda,BMU,North America,North America,2014,EFExportsPerCap,,,,,,,0.07623828,,62000
Bermuda,BMU,North America,North America,2014,EFExportsTotGHA,,,,,,,4755.438902,,62000
Bermuda,BMU,North America,North America,2014,EFImportsPerCap,,,,,,,3.547190073,,62000
Bermuda,BMU,North America,North America,2014,EFImportsTotGHA,,,,,,,221259.526,,62000
Bermuda,BMU,North America,North America,2014,EFProdPerCap,,,,,,,3.30795397,,62000
Bermuda,BMU,North America,North America,2014,EFProdTotGHA,,,,,,,206336.935,,62000
Bhutan,BTN,Asia,Southern Asia,2014,BiocapPerCap,0.286498676,0.338065611,4.245713972,0.013313663,0.25875461,0,5.142346533,2500.26,765000
Bhutan,BTN,Asia,Southern Asia,2014,BiocapTotGHA,219173.7777,258622.8957,3248005.136,10185.05893,197949.3455,0,3933936.214,2500.26,765000
Bhutan,BTN,Asia,Southern Asia,2014,EFConsPerCap,0.435252879,0.370964059,2.69203679,0.031400104,0.25875461,0.846702552,4.635110994,2500.26,765000
Bhutan,BTN,Asia,Southern Asia,2014,EFConsTotGHA,332971.9325,283790.4714,2059429.668,24021.33054,197949.3455,647734.2224,3545896.971,2500.26,765000
Bhutan,BTN,Asia,Southern Asia,2014,EFExportsPerCap,0.040478933,9.00E-05,0.012582263,0,0,0.486080069,0.539231297,2500.26,765000
Bhutan,BTN,Asia,Southern Asia,2014,EFExportsTotGHA,30966.70717,68.87532974,9625.531733,0,0,371855.1392,412516.2534,2500.26,765000
Bhutan,BTN,Asia,Southern Asia,2014,EFImportsPerCap,0.189233136,0.095642775,0.046639144,0.031390065,0,0.88283676,1.245741879,2500.26,765000
Bhutan,BTN,Asia,Southern Asia,2014,EFImportsTotGHA,144764.862,73167.48775,35679.31789,24013.65051,0,675377.1801,953002.4982,2500.26,765000
Bhutan,BTN,Asia,Southern Asia,2014,EFProdPerCap,0.286498676,0.275411316,2.657979909,1.00E-05,0.25875461,0.449945861,3.928600411,2500.26,765000
Bhutan,BTN,Asia,Southern Asia,2014,EFProdTotGHA,219173.7777,210691.859,2033375.882,7.680030305,197949.3455,344212.1815,3005410.726,2500.26,765000
Bolivia,BOL,Latin America and the Caribbean,South America,2014,BiocapPerCap,0.677363278,2.182649876,13.50984094,0.053194296,0.064734735,0,16.48778313,2317.26,10562000
Bolivia,BOL,Latin America and the Caribbean,South America,2014,BiocapTotGHA,7154243.467,23052930.57,142689594.3,561832.8535,683721.8201,0,174142323.1,2317.26,10562000
Bolivia,BOL,Latin America and the Caribbean,South America,2014,EFConsPerCap,0.400095826,1.676006191,0.178626942,0.009552047,0.064734735,0.74545503,3.07447077,2317.26,10562000
Bolivia,BOL,Latin America and the Caribbean,South America,2014,EFConsTotGHA,4225772.266,17701810.44,1886639.966,100887.7671,683721.8201,7873421.77,32472254.03,2317.26,10562000
Bolivia,BOL,Latin America and the Caribbean,South America,2014,EFExportsPerCap,0.324044193,0.016157957,0.004665463,7.83E-09,0,0.166957993,0.511825614,2317.26,10562000
Bolivia,BOL,Latin America and the Caribbean,South America,2014,EFExportsTotGHA,3422522.492,170658.7375,49276.15177,0.082707142,0,1763393.69,5405851.155,2317.26,10562000
Bolivia,BOL,Latin America and the Caribbean,South America,2014,EFImportsPerCap,0.046776742,0.00425553,0.031236579,0.008535506,0,0.277783139,0.368587496,2317.26,10562000
Bolivia,BOL,Latin America and the Caribbean,South America,2014,EFImportsTotGHA,494051.2915,44946.47918,329917.6379,90151.16748,0,2933917.844,3892984.42,2317.26,10562000
Bolivia,BOL,Latin America and the Caribbean,South America,2014,EFProdPerCap,0.677363278,1.687908619,0.152055825,0.001016548,0.064734735,0.634629884,3.217708889,2317.26,10562000
Bolivia,BOL,Latin America and the Caribbean,South America,2014,EFProdTotGHA,7154243.467,17827522.7,1605998.48,10736.68237,683721.8201,6702897.616,33985120.77,2317.26,10562000
Botswana,BWA,Africa,Southern Africa,2014,BiocapPerCap,0.050001841,2.265173347,0.555452468,0.248447031,0.014983594,0,3.134058281,7574.28,2220000
Botswana,BWA,Africa,Southern Africa,2014,BiocapTotGHA,111001.0844,5028548.787,1233071.119,551537.4871,33262.67946,0,6957421.157,7574.28,2220000
Botswana,BWA,Africa,Southern Africa,2014,EFConsPerCap,0.308675817,0.17156262,0.203763042,0.015242275,0.014983594,1.822608916,2.536836265,7574.28,2220000
Botswana,BWA,Africa,Southern Africa,2014,EFConsTotGHA,685241.7744,380858.7136,452341.715,33836.93536,33262.67946,4046082.331,5631624.149,7574.28,2220000
Botswana,BWA,Africa,Southern Africa,2014,EFExportsPerCap,0.020772292,0.68537043,0.000379146,0.000627645,0,0.18657799,0.893727504,7574.28,2220000
Botswana,BWA,Africa,Southern Africa,2014,EFExportsTotGHA,46113.24129,1521481.193,841.6821018,1393.334848,0,414191.9323,1984021.384,7574.28,2220000
Botswana,BWA,Africa,Southern Africa,2014,EFImportsPerCap,0.279446268,0.044766304,0.050178936,0.015619756,0,0.908889465,1.298900729,7574.28,2220000
Botswana,BWA,Africa,Southern Africa,2014,EFImportsTotGHA,620353.9314,99378.50736,111394.2235,34674.91913,0,2017680.026,2883481.608,7574.28,2220000
Botswana,BWA,Africa,Southern Africa,2014,EFProdPerCap,0.050001841,0.812166746,0.153963252,0.000250165,0.014983594,1.100297441,2.131663041,7574.28,2220000
